"Time","Found","Snow","Colour","Age","Hobby","Rank","Series","ParticipantID"
11.003,"Yes",TRUE,"Brown",NA,NA,1,3,1
60,"No",TRUE,"Grey",NA,NA,2,3,1
1.835,"Yes",FALSE,"Brown",NA,NA,3,3,1
39.804,"Yes",FALSE,"Grey",NA,NA,4,3,1
6.253,"Yes",TRUE,"Brown",NA,NA,5,3,1
4.222,"Yes",FALSE,"Brown",NA,NA,6,3,1
2.797,"Yes",TRUE,"Grey",NA,NA,7,3,1
12.703,"Yes",FALSE,"Grey",NA,NA,8,3,1
3.426,"Yes",FALSE,"Grey",NA,NA,1,8,2
2.605,"Yes",TRUE,"Brown",NA,NA,2,8,2
16.985,"Yes",TRUE,"Grey",NA,NA,3,8,2
36.565,"Yes",FALSE,"Brown",NA,NA,4,8,2
1.861,"Yes",TRUE,"Brown",NA,NA,5,8,2
3.297,"Yes",FALSE,"Grey",NA,NA,6,8,2
2.4,"Yes",FALSE,"Brown",NA,NA,7,8,2
24.109,"Yes",TRUE,"Grey",NA,NA,8,8,2
12.762,"Yes",TRUE,"Brown",NA,NA,1,7,3
4.378,"Yes",TRUE,"Grey",NA,NA,2,7,3
2.661,"Yes",FALSE,"Brown",NA,NA,3,7,3
11.841,"Yes",FALSE,"Grey",NA,NA,4,7,3
5.352,"Yes",TRUE,"Brown",NA,NA,5,7,3
10.783,"Yes",FALSE,"Brown",NA,NA,6,7,3
5.33,"Yes",TRUE,"Grey",NA,NA,7,7,3
11.002,"Yes",FALSE,"Grey",NA,NA,8,7,3
9.365,"Yes",FALSE,"Grey",NA,NA,1,8,4
4.353,"Yes",TRUE,"Brown",NA,NA,2,8,4
5.544,"Yes",TRUE,"Grey",NA,NA,3,8,4
8.75,"Yes",FALSE,"Brown",NA,NA,4,8,4
3.241,"Yes",TRUE,"Brown",NA,NA,5,8,4
6.134,"Yes",FALSE,"Grey",NA,NA,6,8,4
2.302,"Yes",FALSE,"Brown",NA,NA,7,8,4
60,"No",TRUE,"Grey",NA,NA,8,8,4
9.958,"Yes",TRUE,"Grey",NA,NA,1,1,5
27.94,"Yes",FALSE,"Grey",NA,NA,2,1,5
3.224,"Yes",TRUE,"Brown",NA,NA,3,1,5
3.148,"Yes",FALSE,"Brown",NA,NA,4,1,5
6.936,"Yes",FALSE,"Brown",NA,NA,5,1,5
2.544,"Yes",TRUE,"Grey",NA,NA,6,1,5
1.712,"Yes",FALSE,"Grey",NA,NA,7,1,5
60,"No",TRUE,"Brown",NA,NA,8,1,5
3.905,"Yes",FALSE,"Grey",30,"No",1,4,6
2.692,"Yes",TRUE,"Brown",30,"No",2,4,6
2.718,"Yes",TRUE,"Grey",30,"No",3,4,6
23.619,"Yes",FALSE,"Brown",30,"No",4,4,6
1.442,"Yes",TRUE,"Brown",30,"No",5,4,6
3.301,"Yes",FALSE,"Grey",30,"No",6,4,6
6.583,"Yes",FALSE,"Brown",30,"No",7,4,6
4.264,"Yes",TRUE,"Grey",30,"No",8,4,6
1.968,"Yes",TRUE,"Grey",28,"Yes",1,2,7
2.362,"Yes",FALSE,"Brown",28,"Yes",2,2,7
4.782,"Yes",FALSE,"Grey",28,"Yes",3,2,7
2.247,"Yes",TRUE,"Brown",28,"Yes",4,2,7
1.829,"Yes",FALSE,"Brown",28,"Yes",5,2,7
46.7,"Yes",TRUE,"Grey",28,"Yes",6,2,7
3.552,"Yes",TRUE,"Brown",28,"Yes",7,2,7
60,"No",FALSE,"Grey",28,"Yes",8,2,7
3.858,"Yes",TRUE,"Brown",27,"Yes",1,7,8
3.584,"Yes",TRUE,"Grey",27,"Yes",2,7,8
1.628,"Yes",FALSE,"Brown",27,"Yes",3,7,8
4.188,"Yes",FALSE,"Grey",27,"Yes",4,7,8
2.296,"Yes",TRUE,"Brown",27,"Yes",5,7,8
