"Meadow.ID";"Visit.ID";"Day";"Month";"Year";"Observer";"Temperature"
1;101;3;8;2013;"Harriet";12.705629141384
1;102;23;7;2013;"Harriet";24.3715023966312
1;103;4;8;2013;"Harriet";17.7366586651213
2;201;29;7;2013;"Harriet";NA
2;202;23;7;2013;"Harriet";14.0130135616876
2;203;17;6;2013;"Bob";14.4007046291942
3;301;20;8;2013;"Harriet";25.5638826233735
3;302;16;7;2013;"Harriet";27.589075285399
3;303;19;7;2013;"Bob";22.3503059981501
4;401;23;6;2013;"Harriet";NA
4;402;29;6;2013;"Harriet";19.0225420590156
4;403;22;7;2013;"Harriet";NA
5;501;5;7;2013;"Harriet";28.8078815622031
5;502;7;7;2013;"Harriet";37.9619025350756
5;503;20;8;2013;"Harriet";22.1155447462265
6;601;9;8;2013;"Harriet";17.5371868837722
6;602;7;8;2013;"Harriet";17.4019605622304
6;603;25;7;2013;"Harriet";21.9501698425097
7;701;15;7;2013;"Harriet";NA
7;702;4;8;2013;"Harriet";17.2741121405623
7;703;26;7;2013;"Harriet";17.2942234222313
8;801;28;8;2013;"Harriet";33.0324616598985
8;802;29;6;2013;"Harriet";NA
8;803;10;7;2013;"Bob";23.402724458676
9;901;18;6;2013;"Harriet";10.9560841228883
9;902;10;6;2013;"Bob";26.180757705846
9;903;29;6;2013;"Harriet";23.3489383625878
10;1001;21;8;2013;"Harriet";15.502293357493
10;1002;8;6;2013;"Harriet";18.1926815778123
10;1003;25;6;2013;"Harriet";NA
11;1101;3;6;2013;"Harriet";20.0029879158333
11;1102;24;6;2013;"Harriet";27.6051419081859
11;1103;24;7;2013;"Harriet";NA
12;1201;22;6;2013;"Harriet";25.0611929833168
12;1202;23;7;2013;"Bob";31.5576758423579
12;1203;18;7;2013;"Bob";21.7625425964897
13;1301;3;7;2013;"Bob";20.3520174243252
13;1302;21;6;2013;"Harriet";NA
13;1303;6;7;2013;"Bob";26.308305506842
14;1401;23;8;2013;"Harriet";30.026847599933
14;1402;9;7;2013;"Harriet";13.1939461275774
14;1403;21;7;2013;"Harriet";25.1249564808393
15;1501;20;6;2013;"Harriet";23.4125796930793
15;1502;13;6;2013;"Harriet";15.8817672405182
15;1503;9;8;2013;"Bob";18.8431884993662
16;1601;6;7;2013;"Harriet";21.9939980905373
16;1602;10;7;2013;"Bob";26.1086609606411
16;1603;23;6;2013;"Harriet";32.2343711489481
17;1701;13;6;2013;"Harriet";20.202629663683
17;1702;22;8;2013;"Harriet";24.7183845387622
17;1703;15;8;2013;"Harriet";15.5922455222938
18;1801;12;6;2013;"Harriet";25.8981050751748
18;1802;23;8;2013;"Harriet";17.3036366013579
18;1803;15;6;2013;"Harriet";20.8151022216864
19;1901;20;6;2013;"Harriet";24.2706194012713
19;1902;27;7;2013;"Harriet";21.8941940713085
19;1903;22;7;2013;"Bob";26.7674932819392
20;2001;23;6;2013;"Harriet";19.3537187472306
20;2002;7;8;2013;"Harriet";19.6815290675684
20;2003;4;8;2013;"Harriet";18.8787728128344
21;2101;17;7;2013;"Harriet";19.0357581946502
21;2102;26;7;2013;"Harriet";20.2267826724943
21;2103;19;6;2013;"Harriet";20.0049888643598
22;2201;16;7;2013;"Bob";32.3978890949744
22;2202;19;6;2013;"Harriet";19.6084243217339
22;2203;18;6;2013;"Harriet";23.0412872944341
23;2301;12;8;2013;"Bob";17.1895552547226
23;2302;2;8;2013;"Harriet";23.0795563012255
23;2303;8;8;2013;"Bob";21.758789787414
24;2401;23;6;2013;"Harriet";27.0827345942438
24;2402;15;8;2013;"Harriet";27.0068227527832
24;2403;27;7;2013;"Bob";24.8258206876915
25;2501;9;8;2013;"Bob";19.8556963847461
25;2502;19;6;2013;"Harriet";23.812778172427
25;2503;25;8;2013;"Harriet";23.1783586827236
26;2601;17;8;2013;"Harriet";14.448859161474
26;2602;11;7;2013;"Bob";17.8053229110968
26;2603;23;7;2013;"Bob";14.6514546138639
27;2701;28;6;2013;"Bob";28.9905882811001
27;2702;21;8;2013;"Harriet";20.5675206701031
27;2703;10;6;2013;"Harriet";28.516108094426
28;2801;30;6;2013;"Harriet";28.622883651817
28;2802;13;6;2013;"Harriet";13.4302446347199
28;2803;23;8;2013;"Harriet";21.7289332061711
29;2901;9;8;2013;"Harriet";29.767191333213
29;2902;8;8;2013;"Harriet";16.7902331935774
29;2903;2;8;2013;"Harriet";7.9409425801214
30;3001;17;8;2013;"Harriet";19.4950466741331
30;3002;1;8;2013;"Harriet";21.9569240350593
30;3003;12;8;2013;"Bob";22.1048676113483
