brood;individual;body mass;site
2020001;19037AD;140.388522053424;S 44
2020001;16259AD;107.471356664552;S 39
2020001;10013AD;108.945911596388;S 37
2020001;11167AD;138.526131279174;S 14
2020002;12600AD;68.6562036325556;S 32
2020002;15350AD;79.3880829659826;S 27
2020002;11323AD;69.2955575308127;S 37
2020002;16550AD;61.7843832440549;S 36
2020002;17330AD;74.3998393289394;S 38
2020002;15968AD;67.2407091127841;S 37
2020002;13428AD;67.0243541924562;S 45
2020003;16274AD;128.065668124977;S 20
2020003;10708AD;133.415712368404;S 25
2020003;14474AD;149.579436215817;S 47
2020003;12692AD;114.129576162882;S 15
2020003;13812AD;118.490098528167;S 34
2020003;16599AD;124.628984303286;S 18
2020003;12644AD;130.424663179305;S 31
2020003;18093AD;117.548146745697;S 22
2020004;10218AD;121.803726695894;S 26
2020004;14106AD;142.367550876645;S 16
2020004;18558AD;107.412760598631;S 20
2020005;18311AD;107.632712039125;S 39
2020005;12743AD;121.726494613176;S 32
2020005;14581AD;104.087341641395;S 16
2020005;15528AD;114.798623999164;S 35
2020005;17881AD;93.3748152336971;S 44
2020005;13022AD;109.763646463484;S 10
2020005;16577AD;89.1378582081458;S 39
2020006;17921AD;80.3241735780517;S 14
2020006;15862AD;80.1879497312195;S 46
2020006;19139AD;63.9934057266928;S 15
2020006;12339AD;93.8452142715049;S 16
2020006;11591AD;88.1534874766256;S 18
2020006;13086AD;78.3613296683585;S 22
2020007;12905AD;112.7306452952;S 21
2020007;11724AD;110.460627447075;S 10
2020007;12342AD;94.8653647260659;S 49
2020007;15103AD;119.025515205675;S 35
2020007;15689AD;118.706171684873;S 45
2020008;14836AD;72.3337544457512;S 21
2020008;16863AD;71.0289183597995;S 27
2020008;15403AD;73.7375236685753;S 10
2020008;17358AD;63.6026418231955;S 19
2020008;10905AD;58.1414116598642;S 19
2020008;19628AD;74.7492781787415;S 26
2020008;12722AD;74.4898200782444;S 10
2020009;16129AD;100.086308680608;S 45
2020009;18440AD;72.4242394520323;S 18
2020009;12309AD;71.7670423862341;S 36
2020009;18009AD;99.8927612715262;S 22
2020009;19276AD;93.7974400672421;S 30
2020009;10596AD;91.8565494834093;S 12
2020009;11434AD;71.3751488165648;S 19
2020009;12046AD;82.5693037906999;S 31
2020010;11489AD;121.516023281734;S 31
2020010;15750AD;114.149881480278;S 12
2020010;13167AD;121.616213098604;S 38
2020010;19042AD;129.991875776416;S 31
2020010;19242AD;108.186246585439;S 42
2020010;18810AD;106.463733965449;S 28
2020011;16855AD;100.45629332373;S 33
2020011;15347AD;138.282164198494;S 43
2020011;16520AD;126.82425946452;S 27
2020011;10300AD;118.602294985447;S 19
2020011;19920AD;105.823708388073;S 48
2020011;18734AD;124.447832665491;S 35
2020012;18256AD;121.108079150549;S 33
2020012;12560AD;114.652441526254;S 30
2020012;13946AD;116.407188053897;S 41
2020012;15698AD;122.78852578782;S 32
2020012;12817AD;112.450899935657;S 30
2020012;11154AD;104.17291695716;S 33
2020012;18783AD;119.602789983101;S 18
2020012;13092AD;125.569528225255;S 11
2020012;11965AD;105.239448915399;S 10
2020013;17668AD;73.8267804019622;S 38
2020013;19003AD;84.3314388497683;S 32
2020013;11105AD;97.6543268331183;S 10
2020013;10946AD;88.4308228138116;S 19
2020013;17173AD;76.0239577897658;S 42
2020013;15697AD;90.1697229082757;S 44
2020013;17524AD;75.2504341900275;S 27
2020014;13377AD;130.813536886239;S 44
2020014;15545AD;107.207028101107;S 25
2020014;18102AD;125.116562953415;S 12
2020014;11225AD;109.319264377461;S 36
2020014;13421AD;117.075794156746;S 23
2020014;15327AD;122.055483701717;S 17
2020014;19093AD;113.184900134004;S 38
2020014;18588AD;106.520897118138;S 42
2020015;13065AD;102.225514122508;S 44
2020015;14613AD;86.9156941178166;S 22
2020015;13311AD;93.424581754537;S 18
2020015;11435AD;87.4820565547333;S 26
2020015;12169AD;76.063245880764;S 39
2020015;10083AD;101.039219384286;S 24
2020015;19184AD;94.1365220430118;S 29
2020015;14723AD;107.116566530352;S 15
2020015;17785AD;91.8039600602441;S 48
2020016;19618AD;113.909608433379;S 15
2020016;19456AD;118.639730354339;S 48
2020016;12077AD;108.090581095925;S 21
2020016;15169AD;88.6872651250867;S 22
2020016;12610AD;119.089666910284;S 42
2020016;13618AD;95.0579032552568;S 14
2020016;17504AD;100.463891479401;S 14
2020017;14639AD;104.026965326043;S 18
2020017;17165AD;106.09431385814;S 12
2020017;14272AD;105.504732582722;S 18
2020017;16301AD;110.505516128036;S 20
2020017;18989AD;121.185833830383;S 15
2020017;19215AD;123.178085691572;S 41
2020017;10289AD;96.7371169364904;S 14
2020017;19505AD;101.615997629301;S 16
2020018;16422AD;90.5450629900173;S 28
2020018;11859AD;75.3850784802058;S 24
2020018;18355AD;78.2710141756327;S 22
2020018;17943AD;83.9426343060831;S 42
2020018;16233AD;93.4746936050184;S 26
2020018;11762AD;91.7978605106752;S 10
2020018;14333AD;68.6618720626101;S 45
2020018;15220AD;84.1734567816944;S 35
2020019;14630AD;126.192461888068;S 31
2020019;14648AD;115.482308208231;S 43
2020019;11191AD;102.156614773921;S 42
2020019;19728AD;95.7333552321032;S 36
2020019;14567AD;107.368705423888;S 47
2020019;15044AD;106.874788958809;S 19
2020020;19673AD;143.222794025768;S 41
2020020;14736AD;114.867411196139;S 47
2020020;13195AD;115.277208572526;S 41
2020020;18497AD;112.795408102148;S 35
2020020;12638AD;136.934649453086;S 30
2020020;12425AD;125.328056586116;S 36
2020020;19822AD;115.543934576548;S 14
2020020;13576AD;111.268378099788;S 12
2020021;17798AD;101.769825056018;S 35
2020021;18612AD;84.1136461527617;S 38
2020021;13106AD;90.5574765604081;S 21
2020021;18444AD;91.826801895925;S 23
2020021;15508AD;76.6539240081108;S 26
2020021;15776AD;93.1639562114725;S 37
2020021;19568AD;91.7421871233676;S 24
2020021;16670AD;96.6590727675016;S 17
2020021;11096AD;90.9271115380108;S 12
2020022;14944AD;100.262104395758;S 22
2020022;19988AD;83.6911125592961;S 30
2020022;16231AD;94.3154960472595;S 46
2020022;14990AD;92.5897667862159;S 35
2020022;16128AD;81.1712697822705;S 26
2020022;15357AD;88.1023566932802;S 17
2020022;10588AD;101.225703519505;S 46
2020023;19774AD;129.779302998149;S 25
2020023;18254AD;118.700882033501;S 36
2020023;10138AD;100.20107955857;S 26
2020023;18195AD;106.941022911313;S 30
2020023;10807AD;103.492071143027;S 22
2020024;17736AD;112.499260358752;S 17
2020024;17795AD;108.225248332167;S 35
2020024;13500AD;100.538078835222;S 13
2020024;13445AD;111.536859036474;S 30
2020024;15108AD;100.178144355993;S 27
2020024;17787AD;142.852913661964;S 43
2020024;19978AD;108.465210160521;S 35
2020025;11612AD;91.2359261504706;S 21
2020025;19801AD;76.0782471636937;S 48
2020025;10239AD;95.4636244773217;S 37
2020025;16549AD;91.7594469147119;S 19
2020025;11765AD;110.486722918088;S 34
2020025;18927AD;90.0030849544794;S 23
2020025;10447AD;104.262009303047;S 26
2020025;16192AD;101.928403137558;S 25
2020026;19402AD;87.8707517763184;S 42
2020026;12633AD;84.00552853788;S 47
2020026;18935AD;81.9913401961099;S 31
2020026;17913AD;78.5471892755274;S 23
2020026;11717AD;68.7980757654684;S 30
2020026;11211AD;78.7267961519885;S 42
2020026;17427AD;84.3118856126878;S 15
2020026;11582AD;72.8965902953664;S 29
2020027;12538AD;102.68754169301;S 30
2020027;13057AD;87.4727913877307;S 18
2020027;19539AD;101.73223092862;S 36
2020027;12859AD;111.61401248537;S 45
2020027;19250AD;79.3983551893763;S 39
2020027;18507AD;90.9422066905144;S 48
2020027;15261AD;95.051832551639;S 16
2020028;13465AD;94.9618454087816;S 36
2020028;12102AD;89.9283781497175;S 36
2020028;15428AD;107.957242344179;S 39
2020028;14519AD;93.6997639728969;S 39
2020028;19125AD;115.504837325463;S 46
2020028;12720AD;92.6263093336237;S 19
2020028;13952AD;116.848903368529;S 48
2020028;18021AD;107.565366231824;S 18
2020029;15041AD;90.4127495069115;S 23
2020029;12060AD;82.1848594494328;S 25
2020029;19616AD;106.005299425825;S 38
2020029;12484AD;90.8245245591437;S 40
2020029;16854AD;93.8156737905562;S 49
2020029;17106AD;94.280685761494;S 13
2020029;16023AD;111.711077610201;S 46
2020030;16154AD;108.786887489326;S 49
2020030;15593AD;111.242262740758;S 22
2020030;19371AD;99.1795498315215;S 47
2020030;10399AD;89.2921414247303;S 13
2020030;11974AD;106.402458193556;S 18
2020030;15608AD;87.7764473379465;S 16
2020030;11795AD;91.1660611880386;S 15
2020031;15413AD;54.7270962281874;S 47
2020031;15461AD;63.4328856871536;S 49
2020031;14277AD;55.0756471211212;S 16
2020031;15780AD;51.8564213554249;S 26
2020031;16943AD;81.3394283515902;S 13
2020031;12649AD;85.9179604327908;S 29
2020031;13796AD;63.5354982519594;S 33
2020031;18285AD;87.3547448115163;S 43
2020032;18050AD;96.9708548136893;S 41
2020032;10914AD;79.0569985892646;S 10
2020032;10173AD;87.6948498741067;S 30
2020032;18808AD;99.4685345476698;S 11
2020032;11004AD;95.8090616438975;S 30
2020033;19693AD;79.4186149249117;S 24
2020033;17919AD;96.2659672964025;S 39
2020033;19631AD;93.6564428487428;S 14
2020033;17968AD;112.011675939164;S 29
2020033;13697AD;84.7300118677223;S 15
2020033;19296AD;82.6599297981519;S 42
2020033;13696AD;88.8562380506604;S 39
2020033;16191AD;85.6286618090447;S 36
2020034;11992AD;95.6231211800279;S 24
2020034;11334AD;93.2558901342905;S 24
2020034;16865AD;76.596729003785;S 30
2020034;12250AD;88.206803040137;S 29
2020034;17980AD;71.5228159150247;S 46
2020034;17862AD;75.3506898020277;S 36
2020034;18856AD;98.601738848408;S 28
2020035;12319AD;100.608099956611;S 12
2020035;13100AD;64.911393492505;S 13
2020035;19059AD;87.573810414038;S 11
2020035;13864AD;107.547959239902;S 12
2020035;14319AD;91.5029621236151;S 38
2020036;10713AD;100.676209247418;S 36
2020036;16772AD;100.726042725925;S 37
2020036;16646AD;111.428621446087;S 27
2020036;14455AD;97.4665507577127;S 32
2020036;19272AD;105.209542203668;S 45
2020036;13895AD;101.773990964993;S 26
2020036;16044AD;94.3341292998052;S 47
2020037;16793AD;89.6416880741627;S 31
2020037;17523AD;84.1150025314898;S 39
2020037;10262AD;102.462950576895;S 38
2020037;16638AD;93.4329391704524;S 17
2020037;11732AD;101.273744311288;S 21
2020037;10673AD;96.5722155522319;S 37
2020037;11640AD;89.4864105815408;S 12
2020038;17292AD;96.1182704171704;S 17
2020038;14097AD;92.3177237070599;S 18
2020038;19387AD;92.4311622533548;S 15
2020038;12087AD;82.0354130997703;S 30
2020038;15630AD;101.646843874863;S 17
2020038;11362AD;82.6893864294713;S 42
2020038;12581AD;87.3201902233331;S 18
2020038;19950AD;76.3513240679965;S 39
2020038;11801AD;78.4405769932037;S 21
2020038;17786AD;81.2411658046498;S 25
2020039;16458AD;153.632890713592;S 49
2020039;17312AD;126.266404717958;S 17
2020039;15741AD;166.003108224613;S 16
2020039;14858AD;119.822116865196;S 18
2020040;14621AD;98.2886392664029;S 17
2020040;12100AD;111.815696378235;S 44
2020040;12748AD;129.525669665946;S 10
2020040;16142AD;119.428708296916;S 29
2020040;13878AD;123.247765852142;S 28
2020040;17846AD;114.62156514018;S 20
2020040;15945AD;116.357677515695;S 44
2020041;12763AD;63.2355629544914;S 46
2020041;17511AD;76.4501942408295;S 40
2020041;14465AD;90.4092178571291;S 36
2020041;15952AD;78.8412155842195;S 47
2020042;18125AD;90.8847836005638;S 37
2020042;10320AD;94.0138497001444;S 44
2020042;11588AD;66.3891487326262;S 10
2020042;16493AD;85.5925395140671;S 29
2020042;19828AD;57.5255954932632;S 11
2020042;19809AD;72.0214035949758;S 13
2020042;15117AD;70.1161460620517;S 10
2020043;16008AD;93.5937878231707;S 42
2020043;10049AD;93.1864635243894;S 42
2020043;19118AD;96.9262671738114;S 41
2020043;12693AD;102.6191162345;S 15
2020043;15314AD;85.3879057537383;S 35
2020043;15547AD;94.944903897673;S 20
2020043;14684AD;92.8716606739948;S 22
2020043;13124AD;84.6491368001683;S 31
2020044;19641AD;105.315698257355;S 28
2020044;11043AD;98.0503824106033;S 48
2020044;13364AD;101.910554538073;S 20
2020044;14280AD;115.534800714051;S 40
2020044;17188AD;104.138137134982;S 28
2020044;19263AD;100.562128619538;S 17
2020044;16907AD;92.9743641023716;S 36
2020044;14769AD;101.002054794604;S 33
2020044;17231AD;112.745037344771;S 22
2020045;11303AD;94.1639901446066;S 30
2020045;15174AD;106.657802740682;S 46
2020045;17753AD;120.391945738815;S 31
2020045;15522AD;94.2031183004065;S 25
2020045;12597AD;111.862101502867;S 41
2020045;10199AD;86.4374346334506;S 17
2020046;18259AD;59.1760507471233;S 25
2020046;12523AD;59.5038971854044;S 25
2020046;15756AD;72.0086698296197;S 48
2020046;10511AD;80.4245501524365;S 48
2020047;12543AD;103.309581498433;S 34
2020047;15820AD;91.5801438734032;S 11
2020047;12128AD;121.136743104932;S 11
2020047;16480AD;116.510407149481;S 11
2020047;10529AD;114.638286846524;S 46
2020047;19031AD;125.619439248833;S 37
2020047;12428AD;115.631524895911;S 24
2020047;11094AD;90.8098931363262;S 35
2020047;11531AD;101.56449287025;S 31
2020047;17039AD;103.580927531045;S 14
2020048;15489AD;68.0721354727792;S 13
2020048;14706AD;89.1972925766915;S 15
2020048;18279AD;71.2630400507717;S 18
2020048;10154AD;81.3893527317443;S 47
2020048;15520AD;79.7108989570181;S 32
2020048;17622AD;99.5283749982601;S 14
2020048;16960AD;87.6240648147591;S 12
2020048;17133AD;91.4272757220333;S 46
2020049;10114AD;85.3836198221625;S 18
2020049;13616AD;93.6459720889584;S 20
2020049;14941AD;85.1772799681512;S 31
2020049;14412AD;79.6253606908659;S 15
2020049;18534AD;91.8815436624121;S 18
2020049;12098AD;77.6665461521206;S 41
2020049;17190AD;101.318222972783;S 47
2020049;13789AD;82.0785522217349;S 41
2020050;10384AD;103.558247964578;S 12
2020050;18000AD;105.732045572105;S 19
2020050;12594AD;98.6063154717479;S 21
2020050;10685AD;122.993603052991;S 48
2020050;11479AD;102.406272806569;S 48
