"Visit.ID";"Square";"Species";"Count"
101;1;"Arum maculatum";3
101;1;"Arum italicum";2
101;1;"Arum vernale";2
101;2;"Callaion brevis";6
101;2;"Arum pyrenaeum";4
101;2;"Arum divaricatum";3
101;2;"Arum numidicum";3
101;2;"Calla cordifolia";5
101;2;"Arum facchinii";3
101;2;"Arum orientale";3
101;2;"Arum vernale";2
101;3;"Arum intermedium";2
101;3;"Callaion brevis";2
101;3;"Arum italicum";2
101;3;"Arum orientale";3
101;4;"Arum trapezuntinum";2
101;6;"Arum ponticum";5
101;6;"Arum pyrenaeum";3
101;7;"Arum majoricense";2
101;7;"Arum foetidum";2
101;7;"Arum orientale";4
101;7;"Arum pyrenaeum";2
101;8;"Arum provinciale";3
101;8;"Arum neglectum";3
101;8;"Arum trapezuntinum";2
101;8;"Arum italicum";3
101;8;"Arum maculatum";2
101;8;"Arum alpinum";2
101;8;"Callaion palustris";4
101;8;"Arum modicense";2
101;11;"Arum heldreichii";3
101;11;"Arum pyrenaeum";2
101;11;"Arum ponticum";3
101;11;"Arum numidicum";4
101;11;"Arum foetidum";2
101;11;"Callaion heterophylla";3
101;11;"Arum majoricense";2
101;12;"Arum italicum";2
101;13;"Arum ponticum";2
101;13;"Callaion brevis";3
101;14;"Arum alpinum";4
101;14;"Arum immaculatum";2
101;14;"Arum maculatum";2
101;14;"Arum facchinii";2
101;15;"Arum gracile";3
101;15;"Callaion brevis";4
101;17;"Arum provinciale";2
101;17;"Arum italicum";3
101;17;"Arum numidicum";3
101;17;"Arum immaculatum";3
101;17;"Arum modicense";3
101;17;"Arum zeleborii";2
101;18;"Arum provinciale";2
101;18;"Arum vulgare";2
101;18;"Arum cylindraceum";5
101;18;"Arum ponticum";2
101;21;"Arum zeleborii";4
101;21;"Calla ovatifolia";4
101;21;"Arum vernale";3
101;21;"Callaion brevis";2
101;23;"Arum transsilvanicum";3
101;23;"Arum malyi";2
101;25;"Callaion palustris";2
101;25;"Arum malyi";2
101;25;"Arum trapezuntinum";3
101;25;"Arum pyrenaeum";2
101;25;"Arum numidicum";2
101;26;"Arum gracile";5
101;26;"Arum heldreichii";6
101;26;"Arum cylindraceum";2
101;28;"Arum provinciale";3
101;29;"Calla brevis";2
101;29;"Arum intermedium";3
101;29;"Arum transsilvanicum";3
101;29;"Arum alpinum";2
101;29;"Arum numidicum";4
101;29;"Arum trapezuntinum";4
101;29;"Arum provinciale";2
101;30;"Arum ponticum";4
101;30;"Callaion heterophylla";4
101;30;"Arum gracile";2
101;30;"Arum maculatum";2
101;30;"Bruniera vivipara";2
101;30;"Arum malyi";2
102;1;"Arum cylindraceum";2
102;1;"Arum italicum";4
102;1;"Calla brevis";2
102;1;"Arum provinciale";3
102;1;"Arum alpinum";3
102;1;"Arum malyi";3
102;2;"Callaion brevis";7
102;3;"Bruniera vivipara";3
102;3;"Callaion bispatha";2
102;3;"Calla brevis";2
102;3;"Arum heldreichii";2
102;3;"Arum facchinii";3
102;3;"Arum foetidum";3
102;3;"Calla ovatifolia";4
102;4;"Calla generalis";3
102;4;"Calla ovatifolia";3
102;4;"Arum vernale";2
102;4;"Calla cordifolia";2
102;4;"Calla palustris";3
102;4;"Arum gracile";2
102;4;"Arum facchinii";3
102;5;"Calla generalis";3
102;5;"Arum majoricense";2
102;5;"Arum pyrenaeum";3
102;6;"Arum ponticum";3
102;6;"Calla ovatifolia";4
102;6;"Arum numidicum";11
102;6;"Arum pyrenaeum";2
102;7;"Arum divaricatum";4
102;8;"Arum ponticum";2
102;8;"Calla generalis";2
102;9;"Arum transsilvanicum";2
102;9;"Arum ponticum";3
102;9;"Arum gracile";3
102;9;"Arum orientale";5
102;9;"Arum intermedium";3
102;9;"Arum pyrenaeum";4
102;9;"Arum provinciale";4
102;9;"Arum alpinum";2
102;9;"Calla generalis";2
102;9;"Arum numidicum";2
102;10;"Arum orientale";3
102;11;"Calla palustris";2
102;11;"Arum ponticum";3
102;12;"Arum cylindraceum";3
102;13;"Callaion brevis";2
102;13;"Arum maculatum";2
102;13;"Arum foetidum";3
102;13;"Calla brevis";2
102;13;"Callaion heterophylla";3
102;13;"Arum trapezuntinum";2
102;13;"Arum italicum";6
102;14;"Arum transsilvanicum";2
102;14;"Arum trapezuntinum";2
102;14;"Arum gracile";2
102;14;"Arum neglectum";3
102;14;"Arum maculatum";3
102;17;"Callaion bispatha";7
102;17;"Arum malyi";3
102;18;"Calla brevis";2
102;19;"Arum facchinii";3
102;19;"Arum alpinum";2
102;19;"Arum italicum";2
102;19;"Arum zeleborii";2
102;19;"Arum heldreichii";2
102;19;"Arum divaricatum";2
102;19;"Arum immaculatum";2
102;19;"Callaion bispatha";2
102;19;"Arum gracile";2
102;19;"Arum orientale";2
102;19;"Arum malyi";4
102;19;"Calla generalis";4
102;19;"Callaion brevis";5
102;19;"Arum provinciale";2
102;19;"Arum numidicum";3
102;21;"Callaion palustris";3
102;21;"Arum maculatum";2
102;21;"Calla cordifolia";4
102;22;"Callaion bispatha";3
102;22;"Arum italicum";2
102;22;"Arum foetidum";4
102;22;"Arum alpinum";2
102;22;"Arum vernale";4
102;24;"Arum neglectum";2
102;27;"Calla palustris";3
102;27;"Arum cylindraceum";2
102;28;"Calla generalis";3
102;28;"Arum alpinum";2
102;28;"Arum pyrenaeum";4
102;28;"Arum foetidum";2
102;28;"Arum modicense";3
102;28;"Arum zeleborii";2
102;28;"Arum trapezuntinum";3
102;28;"Arum majoricense";4
102;29;"Arum neglectum";2
102;30;"Calla generalis";3
102;30;"Arum gracile";3
102;30;"Arum facchinii";2
103;1;"Arum malyi";4
