mother;brood
19869AD;2020001
11286AD;2020002
10927AD;2020003
13058AD;2020004
13844AD;2020005
13085AD;2020006
19021AD;2020007
15159AD;2020008
10569AD;2020009
10565AD;2020010
19788AD;2020011
17010AD;2020012
19036AD;2020013
15878AD;2020014
14297AD;2020015
10816AD;2020016
11226AD;2020017
16429AD;2020018
13239AD;2020019
18313AD;2020020
19575AD;2020021
13014AD;2020022
12016AD;2020023
18854AD;2020024
14986AD;2020025
12490AD;2020026
14662AD;2020027
18096AD;2020028
12404AD;2020029
10468AD;2020030
19595AD;2020031
14651AD;2020032
13770AD;2020033
18398AD;2020034
10448AD;2020035
11846AD;2020036
12783AD;2020037
12606AD;2020038
17761AD;2020039
10915AD;2020040
14442AD;2020041
16007AD;2020042
14726AD;2020043
18891AD;2020044
15971AD;2020045
16457AD;2020046
14672AD;2020047
14179AD;2020048
11411AD;2020049
10067AD;2020050
13679AD;2020051
17051AD;2020052
10310AD;2020053
14446AD;2020054
10990AD;2020055
19534AD;2020056
14144AD;2020057
15425AD;2020058
19534AD;2020059
13495AD;2020060
13123AD;2020061
18171AD;2020062
12709AD;2020063
10867AD;2020064
11702AD;2020065
12357AD;2020066
15572AD;2020067
18894AD;2020068
12512AD;2020069
14628AD;2020070
12648AD;2020071
11134AD;2020072
11219AD;2020073
11041AD;2020074
19670AD;2020075
16990AD;2020076
13515AD;2020077
15311AD;2020078
13592AD;2020079
10423AD;2020080
10634AD;2020081
18345AD;2020082
14734AD;2020083
15721AD;2020084
18630AD;2020085
19347AD;2020086
14500AD;2020087
11408AD;2020088
10654AD;2020089
17167AD;2020090
15825AD;2020091
17021AD;2020092
11824AD;2020093
15019AD;2020094
13835AD;2020095
18739AD;2020096
12811AD;2020097
15572AD;2020098
14595AD;2020099
16392AD;2020100
14110AD;2020101
14682AD;2020102
17287AD;2020103
18512AD;2020104
16077AD;2020105
16137AD;2020106
15573AD;2020107
19124AD;2020108
15737AD;2020109
11941AD;2020110
15175AD;2020111
18272AD;2020112
10782AD;2020113
15265AD;2020114
12631AD;2020115
10828AD;2020116
13837AD;2020117
15411AD;2020118
11874AD;2020119
15233AD;2020120
14714AD;2020121
13951AD;2020122
16343AD;2020123
14184AD;2020124
18825AD;2020125
10284AD;2020126
16485AD;2020127
19285AD;2020128
10715AD;2020129
19952AD;2020130
16361AD;2020131
17495AD;2020132
17690AD;2020133
17940AD;2020134
19011AD;2020135
11016AD;2020136
13474AD;2020137
13933AD;2020138
16000AD;2020139
18035AD;2020140
17041AD;2020141
14046AD;2020142
16965AD;2020143
18371AD;2020144
15984AD;2020145
18346AD;2020146
13190AD;2020147
13495AD;2020148
13463AD;2020149
13881AD;2020150
17729AD;2020151
15175AD;2020152
18416AD;2020153
13020AD;2020154
10341AD;2020155
13764AD;2020156
10992AD;2020157
13709AD;2020158
16969AD;2020159
12030AD;2020160
12055AD;2020161
14435AD;2020162
17300AD;2020163
17472AD;2020164
16874AD;2020165
10785AD;2020166
11661AD;2020167
15713AD;2020168
13951AD;2020169
12944AD;2020170
19987AD;2020171
13837AD;2020172
11528AD;2020173
15921AD;2020174
16436AD;2020175
15067AD;2020176
14065AD;2020177
19697AD;2020178
15640AD;2020179
16485AD;2020180
18576AD;2020181
11230AD;2020182
12368AD;2020183
14844AD;2020184
14159AD;2020185
10817AD;2020186
14698AD;2020187
14860AD;2020188
15620AD;2020189
16794AD;2020190
17010AD;2020191
14667AD;2020192
11812AD;2020193
10585AD;2020194
18019AD;2020195
11253AD;2020196
19080AD;2020197
11644AD;2020198
18780AD;2020199
14006AD;2020200
19853AD;2020201
14109AD;2020202
10225AD;2020203
14162AD;2020204
15870AD;2020205
10227AD;2020206
19506AD;2020207
13399AD;2020208
10059AD;2020209
18743AD;2020210
11104AD;2020211
10234AD;2020212
14270AD;2020213
10628AD;2020214
13055AD;2020215
15181AD;2020216
10992AD;2020217
11583AD;2020218
13034AD;2020219
15336AD;2020220
19948AD;2020221
18421AD;2020222
12114AD;2020223
19019AD;2020224
12782AD;2020225
18767AD;2020226
17357AD;2020227
16957AD;2020228
17400AD;2020229
17729AD;2020230
14022AD;2020231
14430AD;2020232
15713AD;2020233
15088AD;2020234
17610AD;2020236
19637AD;2020237
17163AD;2020238
13075AD;2020239
10209AD;2020240
18418AD;2020241
15955AD;2020242
19023AD;2020243
13009AD;2020244
10651AD;2020245
19560AD;2020246
11002AD;2020247
13968AD;2020248
10645AD;2020249
12888AD;2020250
10299AD;2020251
16861AD;2020252
19669AD;2020253
15661AD;2020254
19304AD;2020255
13934AD;2020256
15826AD;2020257
12474AD;2020258
14770AD;2020259
13126AD;2020260
10309AD;2020261
18198AD;2020262
15983AD;2020263
16278AD;2020264
17625AD;2020265
16045AD;2020266
15166AD;2020267
14727AD;2020268
12365AD;2020269
16795AD;2020270
14911AD;2020271
17705AD;2020272
17671AD;2020273
17473AD;2020274
11734AD;2020275
15470AD;2020276
14167AD;2020277
18881AD;2020278
10446AD;2020279
15319AD;2020280
18379AD;2020281
11210AD;2020282
12055AD;2020283
19284AD;2020284
18353AD;2020285
12019AD;2020286
14208AD;2020287
15318AD;2020289
14175AD;2020290
18350AD;2020291
13417AD;2020292
14381AD;2020293
14667AD;2020294
19156AD;2020295
19306AD;2020296
12959AD;2020297
19325AD;2020298
14397AD;2020299
19361AD;2020300
15840AD;2020301
10859AD;2020302
17650AD;2020303
11052AD;2020305
14520AD;2020306
17300AD;2020307
11658AD;2020308
17227AD;2020309
19434AD;2020310
15819AD;2020311
16455AD;2020312
17473AD;2020313
14162AD;2020314
11352AD;2020315
14480AD;2020316
11219AD;2020317
12536AD;2020318
18003AD;2020319
17659AD;2020320
15802AD;2020321
14732AD;2020322
17054AD;2020323
15284AD;2020324
17421AD;2020325
19783AD;2020326
13596AD;2020327
10375AD;2020328
11845AD;2020329
19874AD;2020330
18784AD;2020331
13172AD;2020332
13805AD;2020333
17590AD;2020334
11924AD;2020335
17773AD;2020336
19527AD;2020337
11352AD;2020338
15603AD;2020339
17910AD;2020340
13432AD;2020341
16561AD;2020343
19041AD;2020344
12419AD;2020345
18860AD;2020346
12963AD;2020347
13172AD;2020348
12127AD;2020349
19590AD;2020350
19515AD;2020351
17269AD;2020352
12391AD;2020353
13408AD;2020354
10331AD;2020355
10569AD;2020356
11907AD;2020357
17591AD;2020358
11736AD;2020359
12764AD;2020360
14184AD;2020361
14279AD;2020362
10329AD;2020363
15328AD;2020364
14096AD;2020365
14762AD;2020366
14839AD;2020367
19397AD;2020368
10659AD;2020369
10092AD;2020370
12341AD;2020371
12930AD;2020372
19579AD;2020373
11899AD;2020374
17777AD;2020375
19783AD;2020376
10844AD;2020377
13122AD;2020378
10793AD;2020380
15394AD;2020381
18133AD;2020382
12440AD;2020383
19625AD;2020384
15840AD;2020385
14239AD;2020386
12419AD;2020387
16450AD;2020388
15431AD;2020389
12512AD;2020390
16405AD;2020391
11067AD;2020392
13640AD;2020393
13442AD;2020394
15743AD;2020395
15130AD;2020396
15761AD;2020397
14479AD;2020398
12326AD;2020399
18701AD;2020400
17873AD;2020401
15569AD;2020402
14938AD;2020403
13965AD;2020404
19224AD;2020405
15344AD;2020406
11991AD;2020407
14259AD;2020408
17812AD;2020409
11891AD;2020410
13074AD;2020411
15391AD;2020412
13158AD;2020413
15949AD;2020414
16978AD;2020415
13857AD;2020416
15300AD;2020417
15135AD;2020418
12879AD;2020419
10850AD;2020420
18925AD;2020421
13943AD;2020422
14158AD;2020423
18235AD;2020424
17395AD;2020425
12398AD;2020426
15988AD;2020427
12852AD;2020428
18337AD;2020429
18493AD;2020430
17730AD;2020431
17873AD;2020432
14347AD;2020433
18455AD;2020434
15383AD;2020435
11302AD;2020436
13894AD;2020437
15631AD;2020438
12257AD;2020439
13799AD;2020440
14555AD;2020441
18496AD;2020443
13155AD;2020444
17685AD;2020445
17821AD;2020446
15095AD;2020447
19876AD;2020448
13859AD;2020449
11539AD;2020450
19713AD;2020451
19322AD;2020452
12401AD;2020453
17940AD;2020454
15590AD;2020455
10736AD;2020456
18692AD;2020457
12019AD;2020458
15316AD;2020460
16571AD;2020461
19367AD;2020462
17040AD;2020463
15581AD;2020464
14471AD;2020465
19592AD;2020466
12120AD;2020467
19446AD;2020468
16371AD;2020469
15911AD;2020470
17670AD;2020471
10767AD;2020472
19607AD;2020473
16557AD;2020474
10047AD;2020475
17034AD;2020476
15798AD;2020478
19971AD;2020479
11127AD;2020480
12284AD;2020481
16112AD;2020482
17895AD;2020483
17576AD;2020484
10809AD;2020486
11257AD;2020487
18109AD;2020488
17054AD;2020489
13964AD;2020490
10668AD;2020491
14810AD;2020492
15581AD;2020493
12988AD;2020494
19361AD;2020495
16292AD;2020496
13146AD;2020497
12055AD;2020498
19780AD;2020499
18692AD;2020500
15417AD;2020235
10954AD;2020288
18007AD;2020304
12247AD;2020342
11941AD;2020379
19981AD;2020442
12791AD;2020459
11675AD;2020477
19808AD;2020485
